smiles,c_index,x_index
Cl[C:16]1=[N:11][C:6]2=[C:4]([S:1](=[O:2])(=[O:3])[C:5]3=[CH:8][CH:13]=[C:17]([CH3:20])[CH:14]=[CH:9]3)[N:7]=[N:12][N:10]2[C:15]2=[C:18]1[S:21][CH:22]=[CH:19]2,1,0
I[C:20]1=[CH:21][CH:23]=[C:25]([OH:26])[CH:24]=[CH:22]1,1,0
Cl[C:17]1=[N:11][C:6]2=[C:4]([S:1](=[O:2])(=[O:3])[C:5]3=[C:8]([CH3:13])[CH:14]=[CH:18][C:15]([CH3:19])=[CH:9]3)[N:7]=[N:12][N:10]2[C:16]2=[C:20]1[S:22][CH:23]=[CH:21]2,1,0
Cl[C:16]1=[N:11][C:6]2=[C:4]([S:1](=[O:2])(=[O:3])[C:5]3=[CH:8][CH:13]=[CH:17][CH:14]=[CH:9]3)[N:7]=[N:12][N:10]2[C:15]2=[C:18]1[S:20][CH:21]=[CH:19]2,1,0
Cl[C:16]1=[N:11][C:6]2=[C:4]([S:1](=[O:2])(=[O:3])[C:5]3=[CH:8][CH:13]=[C:17]([CH2:20][CH3:23])[CH:14]=[CH:9]3)[N:7]=[N:12][N:10]2[C:15]2=[C:18]1[S:21][CH:22]=[CH:19]2,1,0
Cl[C:16]1=[N:11][C:6]2=[C:4]([S:1](=[O:2])(=[O:3])[C:5]3=[CH:8][CH:13]=[C:17]([Cl:20])[CH:14]=[CH:9]3)[N:7]=[N:12][N:10]2[C:15]2=[C:18]1[S:21][CH:22]=[CH:19]2,1,0
Br[C:1]1=[CH:2][C:4]([Cl:6])=[CH:7][CH:5]=[CH:3]1,1,0
Br[C:26]1=[CH:28]\[CH:30]=[C:31]2[C:29](=[CH:27]/1)/[C:32]1=[CH:35][CH:38]=[CH:41][CH:37]=[C:34]1[N:33]/2[C:36]1=[CH:39][CH:42]=[CH:44][CH:43]=[CH:40]1,1,0
Br[C:10]1=[C:11](I)[CH:13]=[CH:15][CH:14]=[CH:12]1,1,0
Cl[C:8]1=[CH:9][C:11]([C:14]2=[CH:16][CH:20]=[CH:24][CH:21]=[CH:17]2)=[N:13][C:12]([C:15]2=[CH:18][CH:22]=[CH:25][CH:23]=[CH:19]2)=[N:10]1,1,0
Cl[C:14]1=[CH:16][CH:15]=[CH:13][C:11]([O:9][CH3:10])=[CH:12]1,1,0
Br[C:11]1=[CH:12][CH:14]=[C:16]([NH2:17])[CH:15]=[CH:13]1,1,0
Cl[C:26]1=[N:28][C:30]([C:33]2=[CH:36][CH:40]=[CH:43][CH:41]=[CH:37]2)=[CH:31][C:29]([C:32]2=[CH:34][CH:38]=[CH:42][CH:39]=[CH:35]2)=[N:27]1,1,0
Br[C:23]1=[CH:25][CH:27]=[CH:29][C:26]([C:28]2=[CH:31][CH:33]=[C:35]3[C:32](=[CH:30]2)[C:34]2=[CH:37][CH:40]=[CH:41][CH:39]=[C:36]2[S:38]3)=[CH:24]1,1,0
Br[C:1]1=[C:2]2[C:4](=[C:7]3[C:6](=[CH:3]/1)/[CH:10]=[CH:13][CH:14]=[CH:11]/3)\[CH:8]=[CH:12][CH:9]=[CH:5]\2,1,0
Br[C:9]1=[CH:11][CH:10]=[CH:8][C:6]([CH:4]=[O:5])=[CH:7]1,1,0
Br[C:7]1=[CH:9][CH:8]=[CH:6][C:4]([C:1]([CH3:2])=[O:3])=[CH:5]1,1,0
Br[C:1]1=[C:2]([NH2:4])[CH:5]=[CH:7][CH:6]=[CH:3]1,1,0
Br[C:1]1=[CH:2][C:4]([CH3:6])=[CH:7][C:5]([CH3:8])=[CH:3]1,1,0
Cl[C:13]1=[CH:15][CH:14]=[CH:12][C:10]([CH3:9])=[CH:11]1,1,0
Cl[C:16]1=[CH:14][CH:12]=[C:11]([CH:9]=[O:10])[CH:13]=[CH:15]1,1,0
I[C:10]1=[CH:8][CH:6]=[C:5]([C:1]([CH3:2])([CH3:3])[CH3:4])[CH:7]=[CH:9]1,1,0
Br/[C:1]1=[C:3]2[C:6](=[CH:8]\[C:4]3=[C:2]1[CH:5]=[CH:10][CH:13]=[CH:9]3)/[CH:11]=[CH:14][CH:12]=[CH:7]/2,1,0
Br[C:1]1=[C:2]([F:4])[CH:5]=[CH:7][CH:6]=[CH:3]1,1,0
Cl[C:33]1=[N:35][C:37]([C:40]2=[CH:43][CH:47]=[CH:50][CH:48]=[CH:44]2)=[CH:38][C:36]([C:39]2=[CH:41][CH:45]=[CH:49][CH:46]=[CH:42]2)=[CH:34]1,1,0
I[C:3]1=[C:2]([F:1])[CH:4]=[CH:6][CH:7]=[CH:5]1,1,0
Br[C:34]1=[N:36][C:38]([C:41]2=[CH:44][CH:48]=[CH:51][CH:49]=[CH:45]2)=[N:39][C:37]([C:40]2=[CH:42][CH:46]=[CH:50][CH:47]=[CH:43]2)=[N:35]1,1,0
