smiles,c_index,x_index,global_number_of_atoms,global_charge,global_multiplicity,global_dipole,global_molar_mass,global_molar_volume,global_electronic_spatial_extent,global_E_scf,global_zero_point_correction,global_E_thermal_correction,global_H_thermal_correction,global_G_thermal_correction,global_E_zpe,global_E,global_H,global_G,global_stoichiometry,global_converged,global_homo_energy,global_lumo_energy,global_electronegativity,global_hardness,global_ES_root_dipole,global_ES_root_molar_volume,global_ES_root_electronic_spatial_extent,local_X,local_Y,local_Z,local_VBur,local_Mulliken_charge,local_APT_charge,local_NPA_charge,local_NPA_core,local_NPA_valence,local_NPA_Rydberg,local_NPA_total,local_NMR_shift,local_NMR_anisotropy,local_ES_root_Mulliken_charge,local_ES_root_NPA_charge,local_ES_root_NPA_core,local_ES_root_NPA_valence,local_ES_root_NPA_Rydberg,local_ES_root_NPA_total,from_cas,from_hammett,from_informer,local_NMR_pred,Halide
Ic1c(N)ccc(C(F)(F)F)c1,1,0,17.0,0.0,1.0,3.947,287.0229,1483.281,2862.3673,-635.406994369,0.111793,0.122745,0.123689,0.072121,-635.298338,-635.287386,-635.286442,-635.338011,C7H5F3IN,1.0,-0.22466,-0.04267,0.133665,0.0909949999999999,7.6812,1328.773,2857.4088,-0.542194,0.348171,-0.011053,0.6520610446821901,-0.393086,0.151222,-0.256,1.99861,4.23229,0.02511,6.256,76.1411,63.6909,-0.290447,-0.27463,1.99876,4.24302,0.03284,6.27463,True,False,False,95.62696146965028,I
Brc1ccc(-c2cccc(-c3nc(-c4ccccc4)nc(-c4ccccc4)n3)c2)cc1,1,0,49.0,0.0,1.0,1.9275,464.3633,2691.524,24758.35,-3775.7205237,0.379272,0.40354,0.404484,0.320244,-3775.345804,-3775.321536,-3775.320592,-3775.404832,C27H18BrN3,1.0,-0.22735,-0.07035,0.1488499999999999,0.0785,16.4908,4014.477,24711.6854,5.846402,-0.1916,0.024123,0.6103681560730019,0.08539,0.414087,-0.11043,1.99859,4.09021,0.02163,6.11043,54.8545,105.3834,0.087827,-0.06014,1.99859,4.03923,0.02233,6.06014,True,False,False,114.4322202205658,Br
Brc1cccc(-c2cccc(-c3nc(-c4ccccc4)nc(-c4ccccc4)n3)c2)c1,1,0,49.0,0.0,1.0,1.8267,464.3633,3351.083,22483.94,-3775.71767542,0.379267,0.403523,0.404468,0.320274,-3775.345752,-3775.321495,-3775.320551,-3775.404745,C27H18BrN3,1.0,-0.23291,-0.0697,0.151305,0.081605,13.4414,3574.489,21537.998,5.200625,-0.21283,0.080264,0.6120201384518565,0.078683,0.401879,-0.10068,1.99859,4.08002,0.02207,6.10068,53.5001,105.2894,0.073255,-0.09941,1.99861,4.07771,0.02309,6.09941,True,False,False,116.54837584495544,Br
Brc1cc2c(s1)c1c(s2)cc(Br)s1,1,0,15.0,0.0,1.0,0.818,354.0918,1454.895,8190.8062,-6643.9709114,0.074472,0.086334,0.087278,0.033501,-6643.924735,-6643.912873,-6643.911928,-6643.965706,C8H2Br2S3,1.0,-0.21042,-0.05612,0.13327,0.07715,1.0483,1350.974,8624.0107,-3.184676,0.004434,0.0,0.6076148521082442,-0.170167,0.346118,-0.34816,1.99871,4.32477,0.02468,6.34816,53.8085,60.7785,-0.183967,-0.3581,1.99869,4.33429,0.02511,6.3581,True,False,False,118.03026461601256,Br
Brc1ncc(C)cc1,1,0,14.0,0.0,1.0,3.6971,172.0241,872.356,1746.8379,-2858.70770403,0.106403,0.113829,0.114773,0.0729,-2858.603304,-2858.595878,-2858.594934,-2858.636808,C6H6BrN,1.0,-0.24703,-0.03573,0.14138,0.10565,1.5515,1041.981,1757.8306,-0.30494,-0.005618,5.4e-05,0.5885777218376337,0.247544,0.659723,0.13264,1.99876,3.83589,0.03272,5.86736,35.4433,78.9933,0.219449,0.11078,1.99873,3.85818,0.03231,5.88922,True,False,False,142.533225774765,Br
Clc1nc(=O)c2c(n(C(C)C)nc2)[nH]1,1,0,23.0,0.0,1.0,8.2226,212.6383,1787.603,3340.7535,-1064.67842869,0.174145,0.186929,0.187873,0.133822,-1064.51138,-1064.498596,-1064.497652,-1064.551703,C8H9ClN4O,1.0,-0.24488,-0.04259,0.143735,0.1011449999999999,5.5835,1983.505,3377.4952,-1.972942,-0.627409,0.0,0.565449968533669,0.319178,1.276252,0.43468,1.99898,3.52973,0.03662,5.56532,49.6637,68.6757,0.266821,0.32442,1.99897,3.64134,0.03527,5.67558,True,False,False,124.0598475933075,Cl
Brc1ccc(-n2c3ccccc3c3ccccc23)cc1,1,0,32.0,0.0,1.0,0.5492,322.2035,2230.524,8770.8075,-3319.62062988,0.247791,0.262735,0.263679,0.203859,-3319.377343,-3319.3624,-3319.361455,-3319.421276,C18H12BrN,1.0,-0.20104,-0.02863,0.1148349999999999,0.086205,1.2615,2530.147,8762.726,-3.10666,0.0,0.0,0.6132787916928886,0.089912,0.381232,-0.11499,1.99859,4.09469,0.02171,6.11499,56.5258,106.5057,0.079263,-0.13219,1.99859,4.11145,0.02215,6.13219,True,False,False,111.66387271881104,Br
Clc1c([N+]([O-])=O)cccc1,1,0,14.0,0.0,1.0,4.7582,157.5561,1162.767,1505.3373,-896.327999865,0.093655,0.101665,0.102609,0.059676,-896.238502,-896.230492,-896.229548,-896.272481,C6H4ClNO2,1.0,-0.27192,-0.09121,0.181565,0.0903549999999999,3.738,1162.767,1529.5777,0.363798,0.779919,-0.013654,0.638058527375708,-0.083974,0.413813,-0.04173,1.99848,4.02054,0.02271,6.04173,57.8559,117.852,-0.108041,-0.0713,1.99847,4.05081,0.02201,6.0713,True,True,False,109.22124898433684,Cl
Brc1ncc(Br)cc1,1,0,11.0,0.0,1.0,2.2274,236.8934,1137.573,3122.5966,-5390.49123943,0.068607,0.075639,0.076583,0.034505,-5390.424264,-5390.417232,-5390.416288,-5390.458366,C5H3Br2N,1.0,-0.25422,-0.05107,0.152645,0.101575,1.5736,1190.484,3120.6557,1.340054,0.005208,-0.0,0.5885777218376337,0.249942,0.672406,0.1283,1.99876,3.84037,0.03256,5.8717,34.5869,88.1306,0.235397,0.12974,1.99874,3.83907,0.03245,5.87026,True,False,False,143.04885268211365,Br
Brc1c(C)ccc2c1cccc2,1,0,21.0,0.0,1.0,1.4993,221.0961,1531.101,2745.8564,-2996.31140367,0.165805,0.175686,0.176631,0.129666,-2996.150305,-2996.140424,-2996.139479,-2996.186444,C11H9Br,1.0,-0.21444,-0.04461,0.129525,0.0849149999999999,1.0154,1399.11,2731.7845,0.582919,0.206886,0.0,0.6810887350534928,-0.052375,0.296379,-0.0702,1.99849,4.052,0.0197,6.0702,53.8718,73.7799,-0.075308,-0.08396,1.99848,4.06499,0.0205,6.08396,True,False,False,116.92655205726624,Br
